SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,ModifiedDate
48658,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48658,NULL,10-4030-012228,12228,NULL,8,12440,12440,1,10468,1032219Vi53983,NULL,2071.4196,165.7136,51.7855,2288.9187,NULL,12/31/06
48659,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48659,NULL,10-4030-028749,28749,NULL,7,16774,16774,1,16997,432233Vi88217,NULL,2049.0982,163.9279,51.2275,2264.2536,NULL,12/31/06
48660,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48660,NULL,10-4030-026607,26607,NULL,4,11752,11752,1,14815,333361Vi76743,NULL,2071.4196,165.7136,51.7855,2288.9187,NULL,12/31/06
48661,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48661,NULL,10-4030-015467,15467,NULL,4,14619,14619,1,3342,133516Vi17612,NULL,782.99,62.6392,19.5748,865.204,NULL,12/31/06
48662,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48662,NULL,10-4030-022938,22938,NULL,9,23797,23797,1,15357,733933Vi79342,6321,2443.35,195.468,61.0838,2699.9018,NULL,12/31/06
48663,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48663,NULL,10-4030-013118,13118,NULL,9,11858,11858,1,8928,535676Vi46017,6321,2049.0982,163.9279,51.2275,2264.2536,NULL,12/31/06
48664,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48664,NULL,10-4030-013521,13521,NULL,9,26748,26748,1,5736,735695Vi30014,6321,2071.4196,165.7136,51.7855,2288.9187,NULL,12/31/06
48665,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48665,NULL,10-4030-020872,20872,NULL,10,15763,15763,1,6692,135723Vi34830,6326,782.99,62.6392,19.5748,865.204,NULL,12/31/06
48666,3,12/24/2006,01-05-2007,12/31/2006,5,1,SO48666,NULL,10-4030-013090,13090,NULL,9,18154,18154,1,15007,135779Vi77674,6321,2049.0982,163.9279,51.2275,2264.2536,NULL,12/31/06
48667,3,12/25/2006,01-06-2007,01-01-2007,5,1,SO48667,NULL,10-4030-019341,19341,NULL,10,15618,15618,1,4698,1131295Vi24619,6337,1000.4375,80.035,25.0109,1105.4834,NULL,01-01-2007
48668,3,12/25/2006,01-06-2007,01-01-2007,5,1,SO48668,NULL,10-4030-018626,18626,NULL,8,26274,26274,1,1292,131305Vi6553,NULL,1000.4375,80.035,25.0109,1105.4834,NULL,01-01-2007
