SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,ModifiedDate
58657,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58657,NULL,10-4030-022076,22076,NULL,4,28438,28438,1,14436,623154Vi74818,NULL,65.95,5.276,1.6488,72.8748,NULL,12-04-2007
58658,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58658,NULL,10-4030-018573,18573,NULL,6,18753,18753,1,9508,723367Vi49025,10041,37.27,2.9816,0.9318,41.1834,NULL,12-04-2007
58659,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58659,NULL,10-4030-020440,20440,NULL,4,11833,11833,1,14556,923770Vi75482,NULL,9.99,0.7992,0.2498,11.039,NULL,12-04-2007
58660,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58660,NULL,10-4030-022348,22348,NULL,4,17741,17741,1,10573,223924Vi54507,NULL,14.98,1.1984,0.3745,16.5529,NULL,12-04-2007
58661,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58661,NULL,10-4030-019760,19760,NULL,4,11926,11926,1,5425,824082Vi28423,NULL,128.97,10.3176,3.2243,142.5119,NULL,12-04-2007
58662,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58662,NULL,10-4030-028767,28767,NULL,6,18138,18138,1,2809,1224180Vi14627,10041,69.99,5.5992,1.7498,77.339,NULL,12-04-2007
58663,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58663,NULL,10-4030-018342,18342,NULL,4,28508,28508,1,11371,1225133Vi58648,NULL,39.98,3.1984,0.9995,44.1779,NULL,12-04-2007
58664,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58664,NULL,10-4030-015776,15776,NULL,4,25623,25623,1,4800,1225480Vi25187,NULL,4.99,0.3992,0.1248,5.514,NULL,12-04-2007
58665,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58665,NULL,10-4030-014642,14642,NULL,1,27165,27165,1,859,825778Vi4361,NULL,7.28,0.5824,0.182,8.0444,NULL,12-04-2007
58666,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58666,NULL,10-4030-014491,14491,NULL,4,24211,24211,1,12739,1226245Vi65861,NULL,127.28,10.1824,3.182,140.6444,NULL,12-04-2007
58667,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58667,NULL,10-4030-028429,28429,NULL,7,24108,24108,1,4472,426732Vi23451,NULL,34.89,2.7912,0.8723,38.5535,NULL,12-04-2007
58668,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58668,NULL,10-4030-016537,16537,NULL,8,20032,20032,1,3951,1227444Vi20798,NULL,24.99,1.9992,0.6248,27.614,NULL,12-04-2007
58669,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58669,NULL,10-4030-022558,22558,NULL,10,15503,15503,1,17596,527564Vi91362,10044,4.99,0.3992,0.1248,5.514,NULL,12-04-2007
58670,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58670,NULL,10-4030-022539,22539,NULL,10,24055,24055,1,18566,528018Vi96487,10044,98.96,7.9168,2.474,109.3508,NULL,12-04-2007
58671,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58671,NULL,10-4030-018181,18181,NULL,10,15874,15874,1,6106,728959Vi31753,10044,48.97,3.9176,1.2243,54.1119,NULL,12-04-2007
58672,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58672,NULL,10-4030-025473,25473,NULL,7,29697,29697,1,NULL,NULL,NULL,4.99,0.3992,0.1248,5.514,NULL,12-04-2007
58673,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58673,NULL,10-4030-013185,13185,NULL,6,27506,27506,1,141,1129233Vi754,10041,42.28,3.3824,1.057,46.7194,NULL,12-04-2007
58674,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58674,NULL,10-4030-011178,11178,NULL,4,26782,26782,1,4373,729269Vi22928,NULL,42.28,3.3824,1.057,46.7194,NULL,12-04-2007
58675,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58675,NULL,10-4030-011503,11503,NULL,4,26983,26983,1,15229,529554Vi78790,NULL,59.49,4.7592,1.4873,65.7365,NULL,12-04-2007
58676,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58676,NULL,10-4030-016479,16479,NULL,6,28512,28512,1,17806,929581Vi92403,10041,36.96,2.9568,0.924,40.8408,NULL,12-04-2007
58677,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58677,NULL,10-4030-012758,12758,NULL,1,12115,12115,1,7091,429633Vi36782,NULL,74.98,5.9984,1.8745,82.8529,NULL,12-04-2007
58678,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58678,NULL,10-4030-017040,17040,NULL,1,14269,14269,1,16436,536128Vi85024,NULL,1760.47,140.8376,44.0118,1945.3194,NULL,12-04-2007
58679,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58679,NULL,10-4030-017142,17142,NULL,4,23041,23041,1,431,536139Vi2183,NULL,1728.27,138.2616,43.2068,1909.7384,NULL,12-04-2007
58680,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58680,NULL,10-4030-016834,16834,NULL,6,29797,29797,1,NULL,NULL,10041,1750.98,140.0784,43.7745,1934.8329,NULL,12-04-2007
58681,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58681,NULL,10-4030-013286,13286,NULL,1,21373,21373,1,14621,1137123Vi75830,NULL,2334.97,186.7976,58.3743,2580.1419,NULL,12-04-2007
58682,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58682,NULL,10-4030-013292,13292,NULL,1,24312,24312,1,655,1237127Vi3391,NULL,2297.28,183.7824,57.432,2538.4944,NULL,12-04-2007
58683,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58683,NULL,10-4030-013366,13366,NULL,6,27303,27303,1,12397,1237155Vi64094,10041,2329.98,186.3984,58.2495,2574.6279,NULL,12-04-2007
58684,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58684,NULL,10-4030-013415,13415,NULL,4,24475,24475,1,928,637402Vi4683,NULL,2325.96,186.0768,58.149,2570.1858,NULL,12-04-2007
58685,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58685,NULL,10-4030-026939,26939,NULL,7,28148,28148,1,596,437575Vi3059,NULL,777.34,62.1872,19.4335,858.9607,NULL,12-04-2007
58686,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58686,NULL,10-4030-023119,23119,NULL,9,17910,17910,1,17148,738206Vi89013,10039,1763.97,141.1176,44.0993,1949.1869,NULL,12-04-2007
58687,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58687,NULL,10-4030-019564,19564,NULL,9,23521,23521,1,15562,1238210Vi80410,10039,1714.97,137.1976,42.8743,1895.0419,NULL,12-04-2007
58688,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58688,NULL,10-4030-023118,23118,NULL,9,22831,22831,1,4378,938425Vi22972,10039,1732.26,138.5808,43.3065,1914.1473,NULL,12-04-2007
58689,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58689,NULL,10-4030-013077,13077,NULL,9,21634,21634,1,16935,439318Vi87784,10039,2294.99,183.5992,57.3748,2535.964,NULL,12-04-2007
58690,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58690,NULL,10-4030-011919,11919,NULL,9,11864,11864,1,831,739323Vi4246,10039,2334.98,186.7984,58.3745,2580.1529,NULL,12-04-2007
58691,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58691,NULL,10-4030-011920,11920,NULL,9,16130,16130,1,9112,339324Vi47013,10039,2362.27,188.9816,59.0568,2610.3084,NULL,12-04-2007
58692,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58692,NULL,10-4030-018189,18189,NULL,9,24548,24548,1,15344,839545Vi79284,10039,539.99,43.1992,13.4998,596.689,NULL,12-04-2007
58693,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58693,NULL,10-4030-026509,26509,NULL,1,13344,13344,1,351,239937Vi1727,NULL,751.34,60.1072,18.7835,830.2307,NULL,12-04-2007
58694,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58694,NULL,10-4030-023110,23110,NULL,4,18905,18905,1,4583,841320Vi24052,NULL,539.99,43.1992,13.4998,596.689,NULL,12-04-2007
58695,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58695,NULL,10-4030-013719,13719,NULL,6,25541,25541,1,15982,1141771Vi82650,10041,1129.48,90.3584,28.237,1248.0754,NULL,12-04-2007
58696,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58696,NULL,10-4030-020092,20092,NULL,4,15570,15570,1,12622,541780Vi65296,NULL,1149.47,91.9576,28.7368,1270.1644,NULL,12-04-2007
58697,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58697,NULL,10-4030-022598,22598,NULL,8,29162,29162,1,NULL,NULL,NULL,597.95,47.836,14.9488,660.7348,NULL,12-04-2007
58698,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58698,NULL,10-4030-012390,12390,NULL,8,25344,25344,1,2365,742490Vi12295,NULL,561.48,44.9184,14.037,620.4354,NULL,12-04-2007
58699,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58699,NULL,10-4030-015627,15627,NULL,8,24879,24879,1,7535,1042664Vi39029,NULL,2398.05,191.844,59.9513,2649.8453,NULL,12-04-2007
58700,3,11/27/2007,12-09-2007,12-04-2007,5,1,SO58700,NULL,10-4030-012333,12333,NULL,7,17146,17146,1,14303,942960Vi74153,NULL,2393.06,191.4448,59.8265,2644.3313,NULL,12-04-2007
