SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,ModifiedDate
SO63658,NULL,10-4030-028430,28430,NULL,8,16013,16013,1,14042,828476Vi72834,NULL,42.97,3.4376,1.0743,47.4819,NULL,02/13/08,,,,,,,
SO63659,NULL,10-4030-025772,25772,NULL,8,13158,13158,1,8622,328602Vi44544,NULL,75.48,6.0384,1.887,83.4054,NULL,02/13/08,,,,,,,
SO63660,NULL,10-4030-012325,12325,NULL,10,25349,25349,1,18099,328823Vi93863,10825,97.96,7.8368,2.449,108.2458,NULL,02/13/08,,,,,,,
SO63661,NULL,10-4030-024062,24062,NULL,7,11403,11403,1,1657,928872Vi8510,NULL,28.99,2.3192,0.7248,32.034,NULL,02/13/08,,,,,,,
SO63662,NULL,10-4030-011164,11164,NULL,4,23221,23221,1,7005,1029263Vi36426,NULL,138.48,11.0784,3.462,153.0204,NULL,02/13/08,,,,,,,
SO63663,NULL,10-4030-011163,11163,NULL,4,14907,14907,1,18276,529300Vi94850,NULL,42.28,3.3824,1.057,46.7194,NULL,02/13/08,,,,,,,
SO63664,NULL,10-4030-013539,13539,NULL,10,22330,22330,1,7283,129989Vi37798,10825,9.99,0.7992,0.2498,11.039,NULL,02/13/08,,,,,,,
SO63665,NULL,10-4030-012591,12591,NULL,8,19653,19653,1,9876,830084Vi50877,NULL,49.97,3.9976,1.2493,55.2169,NULL,02/13/08,,,,,,,
SO63666,NULL,10-4030-014653,14653,NULL,4,24894,24894,1,3952,236037Vi20799,NULL,848.47,67.8776,21.2118,937.5594,NULL,02/13/08,,,,,,,
SO63667,NULL,10-4030-012777,12777,NULL,1,28015,28015,1,13616,336738Vi70563,NULL,2322.28,185.7824,58.057,2566.1194,NULL,02/13/08,,,,,,,
SO63668,NULL,10-4030-016103,16103,NULL,6,19755,19755,1,6372,937095Vi33064,10822,2349.98,187.9984,58.7495,2596.7279,NULL,02/13/08,,,,,,,
SO63669,NULL,10-4030-012756,12756,NULL,4,22282,22282,1,7061,537118Vi36657,NULL,2329.98,186.3984,58.2495,2574.6279,NULL,02/13/08,,,,,,,
SO63670,NULL,10-4030-012492,12492,NULL,10,16205,16205,1,17518,937481Vi90974,10825,777.34,62.1872,19.4335,858.9607,NULL,02/13/08,,,,,,,
SO63671,NULL,10-4030-015077,15077,NULL,10,16542,16542,1,1722,437483Vi8845,10825,777.34,62.1872,19.4335,858.9607,NULL,02/13/08,,,,,,,
SO63672,NULL,10-4030-023648,23648,NULL,9,12549,12549,1,11692,1038123Vi60490,10820,1700.99,136.0792,42.5248,1879.594,NULL,02/13/08,,,,,,,
SO63673,NULL,10-4030-021180,21180,NULL,9,11994,11994,1,14953,738128Vi77458,10820,1700.99,136.0792,42.5248,1879.594,NULL,02/13/08,,,,,,,
SO63674,NULL,10-4030-025946,25946,NULL,9,28027,28027,1,9850,538474Vi50758,10820,1174.48,93.9584,29.362,1297.8004,NULL,02/13/08,,,,,,,
SO63675,NULL,10-4030-025033,25033,NULL,9,21774,21774,1,442,1138875Vi2234,10820,1120.49,89.6392,28.0123,1238.1415,NULL,02/13/08,,,,,,,
SO63676,NULL,10-4030-017904,17904,NULL,9,24128,24128,1,1554,1138891Vi7947,10820,1155.48,92.4384,28.887,1276.8054,NULL,02/13/08,,,,,,,
SO63677,NULL,10-4030-025272,25272,NULL,9,22224,22224,1,18340,438894Vi95245,10820,1174.48,93.9584,29.362,1297.8004,NULL,02/13/08,,,,,,,
SO63678,NULL,10-4030-020628,20628,NULL,9,22754,22754,1,2839,639306Vi14740,10820,2478.34,198.2672,61.9585,2738.5657,NULL,02/13/08,,,,,,,
SO63679,NULL,10-4030-014211,14211,NULL,9,28591,28591,1,10232,639850Vi52823,10820,2389.96,191.1968,59.749,2640.9058,NULL,02/13/08,,,,,,,
SO63680,NULL,10-4030-024738,24738,NULL,4,21344,21344,1,7371,740425Vi38172,NULL,2433.04,194.6432,60.826,2688.5092,NULL,02/13/08,,,,,,,
SO63681,NULL,10-4030-013460,13460,NULL,6,20493,20493,1,4048,640426Vi21306,10822,2398.05,191.844,59.9513,2649.8453,NULL,02/13/08,,,,,,,
SO63682,NULL,10-4030-026487,26487,NULL,1,27053,27053,1,1954,1240682Vi10196,NULL,2407.04,192.5632,60.176,2659.7792,NULL,02/13/08,,,,,,,
SO63683,NULL,10-4030-026292,26292,NULL,1,25273,25273,1,18892,540707Vi98175,NULL,2407.04,192.5632,60.176,2659.7792,NULL,02/13/08,,,,,,,
SO63684,NULL,10-4030-026328,26328,NULL,4,13276,13276,1,15646,440719Vi80855,NULL,2469.05,197.524,61.7263,2728.3003,NULL,02/13/08,,,,,,,
SO63685,NULL,10-4030-023016,23016,NULL,4,28542,28542,1,8939,640897Vi46079,NULL,561.48,44.9184,14.037,620.4354,NULL,02/13/08,,,,,,,
SO63686,NULL,10-4030-020650,20650,NULL,4,23571,23571,1,14117,941349Vi73230,NULL,1174.48,93.9584,29.362,1297.8004,NULL,02/13/08,,,,,,,
SO63687,NULL,10-4030-020709,20709,NULL,4,24677,24677,1,8829,941703Vi45571,NULL,1729.97,138.3976,43.2493,1911.6169,NULL,02/13/08,,,,,,,
SO63688,NULL,10-4030-024186,24186,NULL,10,15764,15764,1,18563,942101Vi96471,10825,1147.77,91.8216,28.6943,1268.2859,NULL,02/13/08,,,,,,,
SO63689,NULL,10-4030-018133,18133,NULL,8,20181,20181,1,4838,1142865Vi25418,NULL,2384.07,190.7256,59.6018,2634.3974,NULL,02/13/08,,,,,,,
SO63690,NULL,10-4030-021177,21177,NULL,9,25656,25656,1,1385,717696Vi7066,10831,39.99,3.1992,0.9998,44.189,NULL,02/14/08,,,,,,,
SO63691,NULL,10-4030-015241,15241,NULL,9,17341,17341,1,17353,1218399Vi90144,10831,22.93,1.8344,0.5733,25.3377,NULL,02/14/08,,,,,,,
SO63692,NULL,10-4030-015147,15147,NULL,9,26788,26788,1,1830,218619Vi9479,10831,59.48,4.7584,1.487,65.7254,NULL,02/14/08,,,,,,,
SO63693,NULL,10-4030-016733,16733,NULL,9,28517,28517,1,11364,1018733Vi58593,10831,3.99,0.3192,0.0998,4.409,NULL,02/14/08,,,,,,,
SO63694,NULL,10-4030-013004,13004,NULL,9,27226,27226,1,17800,319007Vi92384,10831,159,12.72,3.975,175.695,NULL,02/14/08,,,,,,,
SO63695,NULL,10-4030-020149,20149,NULL,10,24325,24325,1,11790,519192Vi60972,10836,2466.32,197.3056,61.658,2725.2836,NULL,02/14/08,,,,,,,
